host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
37283489,2015-07-02,"Kenmore, Washington, United States",within an hour,100.0,100.0,True,Belltown,2.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",True,t
37518072,2015-07-04,"Toronto, Ontario, Canada",within an hour,100.0,100.0,True,Downtown Toronto,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
9691769,2013-10-28,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
44846373,2015-09-22,"Seattle, Washington, United States",within a day,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'reviews']",True,f
20493911,2014-08-24,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Belltown,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",True,t
10170629,2013-11-21,"Seattle, Washington, United States",within an hour,100.0,-1.0,True,Lower Queen Anne,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
24464339,2014-12-03,"Oakland, California, United States",within a day,80.0,100.0,True,Forestland,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
26002146,2015-01-12,"Seattle, Washington, United States",Unknown,,-1.0,True,Pike Place Market,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
2457842,2012-05-24,"Seattle, Washington, United States",Unknown,,-1.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
22611417,2014-10-16,"Seattle, Washington, United States",within a few hours,75.0,100.0,True,,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",True,t
14859182,2014-04-28,"Bothell, Washington, United States",within a few hours,100.0,-1.0,True,Belltown,2.0,"['email', 'phone', 'reviews', 'jumio']",True,t
36574415,2015-06-23,"Seattle, Washington, United States",within a few hours,90.0,100.0,True,Belltown,1.0,"['email', 'phone', 'reviews', 'kba']",True,t
5486995,2013-03-16,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'reviews', 'kba']",True,t
31883976,2015-04-24,"Seattle, Washington, United States",within an hour,89.0,100.0,True,Belltown,1.0,"['email', 'phone', 'reviews', 'jumio']",True,t
6671256,2013-05-31,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",True,t
38033593,2015-07-09,US,Unknown,,-1.0,True,Belltown,1.0,"['email', 'phone', 'reviews', 'jumio']",True,t
